NAMEKEY,SALESKEY,ITEMKEY,BALLDATE,BALLDESC,SERIALNO,BALLPRICE,BALLQTY,COLOR,WEIGHT,INSCRIPT,L1GRIP,L1GRIPSIZE,L1HOLESIZE,L1PITCH,L1PITCHF,L1PITCH2,L1PITCHF2,L2GRIP,L2GRIPSIZE,L2HOLESIZE,L2PITCH,L2PITCHF,L2PITCH2,L2PITCHF2,R1GRIP,R1GRIPSIZE,R1HOLESIZE,R1PITCH,R1PITCHF,R1PITCH2,R1PITCHF2,R2GRIP,R2GRIPSIZE,R2HOLESIZE,R2PITCH,R2PITCHF,R2PITCH2,R2PITCHF2,THSLUG,THSLUGSIZE,THHOLESIZE,THPITCH,THPITCHF,THPITCH2,THPITCHF2,BRIDGE,L1CUTTOCUT,L2CUTTOCUT,R1CUTTOCUT,R2CUTTOCUT,L1SPAN,L2SPAN,R1SPAN,R2SPAN,HAXIS,VAXIS,VAXISUORD,STOCKKEY,PININOUT,TOPWEIGHT,BRIDGE1,BRIDGE2,COMMENTS1,COMMENTS2,SIDEWEIGHT,FINGWEIGHT,DRILLING,CGOVER,CGUP,PINOVER,PINUP,OVALANGLE,OVALWIDTH,DRILLTYPE,WHSIZE,WHDEPTH,WHWEIGHT,WHOVER,WHUP,NUMFINGERS,LEFTRIGHT,MACHSETF1,MACHSETF2,MACHSETF3,MACHSETF4,MACHSETTH,OVALANGLEN,OVALWIDTHN,COMMENTS3,SURFTEXTUR,ENDSIDEWH,ENDFINGTH,HAXISLR,MASSBIAS,F1OVALSIZE,F2OVALSIZE,F3OVALSIZE,F4OVALSIZE,ENDWTTOPB,ENDSIDEPM,ENDFTLIT,DIAMTRACK,SALEPERSON,FINISHDATE,DRCOMMENTS,IPSIAWIDTH,OVALCALCUL
10485,1142,2956,2011-08-24,Brunswick Karma Solid,CDP21202,129.95,1,Blue/Black,13.0,,None,,,None,None,,,Vise Oval,55/64,1 1/32,Lt,Rev,3/8,3/8,Vise Oval,13/16,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise Urethane S,1 3/8,1 1/32,Lt,Rev,1/8,1/8,,,,,,,4 7/16,4 1/2,,,,None,1570,2-3,2.2,1/4,,,,0.0,0.0,Positive Shift,,,,,,,Finger Tip,,,3/4,,,2,Right,,,,,,45,1.080,,box,7/8,3/8,Right,,,,,,Bottom,Plus,Finger,,,,USES GOLF GLOVE ON ALL THREE FINGERS,,Ebonite
10426,1143,2961,2011-08-24,Brunswick T Zone Indigo Swirl,CD42033,89.95,1,Blue/Black/White,6.0,,None,,,None,None,,,None,,45/64,Lt,Fwrd,3/8,1/4,None,,21/32,Rt,Fwrd,3/8,1/4,None,,,None,None,,,None,,49/64,Lt,Fwrd,1/8,1/4,,,,,,,3 1/16,3 3/16,,,,None,1566,N/A,1.7,1/4,,,,0.0,0.0,Label,,,,,,,Conventional,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10482,0,0,2011-08-25,Install Vise IT,,0.0,1,,15.0,,None,,,None,None,,,Vise Semi,21/32,31/32,Lt,Fwrd,3/8,1/8,Vise Semi,5/8,31/32,Rt,Rev,3/8,1/16,None,,,None,None,,,Vise IT Thumb S,,1 5/16,Lt,Rev,1/4,1/4,,,4 11/32,4 7/16+,,,,,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,THUMB IS 59/64 MILLED TO .930 @ 45 DEGREES,,IPSIA
10320,1147,2974,2011-08-26,Storm Natural Pearl,10TNUJ25I024,149.95,1,Black Pearl,15.0,,None,,,None,None,,,Vise PL,11/16,31/32,Lt,None,1/2,,Vise PL,43/64,31/32,Rt,None,3/8,,None,,,None,None,,,Vise IT Thumb S,,1 5/16,None,Rev,,3/8,,,4 5/32,4 1/4,,,4 17/32,4 23/32,,5 5/8,13/16,Up,982,1-2,2.5,1/4,,,,0.0,0.0,45 X 4 3/4 X 30,,,4 3/4,to PAP,,,Finger Tip,41/64,3,1 1/16,2 1/4 ^,PAP,2,Right,,,,,,,,,box 4000,5/16,1/2,Right,45 degrees,,,,,Bottom,Plus,Finger,,,,"45 X 4 3/4 X 30



7/8 MILLED TO .980",,IPSIA
10358,0,0,2011-08-26,Victory Road Solid,11TVDF28E005,0.0,1,Hunter/Navy,15.18,,None,,,None,None,,,Vise Oval,53/64,1 1/32,Lt,Rev,3/8,3/8,Vise Oval,53/64,1 1/32,Rt,Rev,3/8,1/2,None,,,None,None,,,Vise IT Thumb S,,1 7/16,Lt,Rev,1/4,1/2,,,4 7/8,4 15/16,,,5 1/4,5 5/16,,,,None,0,3-4,2.83,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,"PREFERS CLEAR FINGER GRIPS, BLACK SLUGS

29/32 TO 1.170 AT 45 DEGREES",,IPSIA
10488,0,0,2011-08-27,Test Grip/Ball,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,45/64,31/32,Lt,Rev,3/8,1/8,Vise Oval,41/64,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,None,,27/32,Lt,Rev,1/8,3/8,,,,,,,5,5 3/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.905,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10489,1152,2987,2011-08-27,Brunswick Karma Pearl,,0.0,1,Blue/Green,14.0,,None,,,None,None,,,None,,43/64,Lt,Fwrd,3/8,1/4,None,,23/32,Rt,Fwrd,3/8,1/4,None,,,None,None,,,None,,51/64,Lt,None,1/8,,,,,,,,3 3/8,3 3/16,,,,None,1337,3-4,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Conventional,,,,,,2,Left,,,,,,45,.850,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10469,0,0,2011-08-27,Fitting by Mike,,0.0,1,,10.0,,None,,,None,None,,,None,,5/8,Lt,Fwrd,3/8,1/4,None,,9/16,Rt,Fwrd,3/8,1/4,None,,,None,None,,,None,,47/64,None,Fwrd,,1/4,,,,,,,2 11/16,2 13/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Conventional,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10070,1154,2989,2011-08-27,Storm Marvel Pearl,11TMPF06I034,199.95,1,Silver/Deep Purple/Maroon,15.25,,None,,,None,None,,,Vise Oval,25/32,31/32,Lt,Rev,3/8,1/8,Vise Oval,23/32,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,Vise IT Thumb S,,1 7/16,Lt,Rev,1/8,1/4,,,4 5/16,4 7/16+,,,4 23/32,4 7/8,,4 13/16,3/8,Up,1485,3-4,2.81,1/4,,,,0.0,0.0,40 X 4 1/2 X 25,,,4 1/2,TO PAP,,,Finger Tip,53/64,3,1/4,2 1/4 >,PAP,2,Right,,,,,,,,,BOX 1500 POLISHED,1/2,1/4,Right,40 DEGREES,,,,,Top,Plus,Finger,,,,"THUMB IS 15/16 MILLED TO .985 @45 DEGREES
",,Ebonite
10491,1158,2997,2011-08-29,Brunswick Karma Pearl,CDM31009,129.95,1,Blue/Green,12.0,,None,,,None,None,,,None,,3/4,Lt,None,3/8,,None,,11/16,Rt,None,3/8,,None,,,None,None,,,None,,25/32,Lt,Fwrd,1/8,1/8,,,,,,,3 3/4,3 15/16,,,,None,1581,2-3,2.2,1/4,,,,0.0,0.0,Label,,,,,,,Conventional,,,,,,2,Right,,,,,,45,.870,,box,,,Right,,,,,,None,None,None,,,,,,Ebonite
